Reactor Name,2003 Net Capacity,2003 Year-to-Date,2010 Net Capacity,2010 Year-to-Date
Browns Ferry 1,1065.00,0.00,1065.80,8072298.00
Browns Ferry 2,1118.00,8369223.00,1103.70,8842513.00
Browns Ferry 3,1114.00,9325732.00,1104.90,7856326.00
Joseph M. Farley 1,833.00,6602638.00,851.00,6577445.00
Joseph M. Farley 2,842.00,7379360.00,860.00,6592239.00
Palo Verde 1,1243.00,10587107.00,1311.00,9307971.00
Palo Verde 2,1335.00,8439236.00,1314.00,11652972.00
Palo Verde 3,1247.00,9554710.00,1317.00,10238992.00
Arkansas Nuclear One 1,840.00,6771152.00,842.00,6607090.00
Arkansas Nuclear One 2,1000.00,7918264.00,993.00,8415588.00
San Onofre 2,1070.00,9712482.00,1070.00,6989150.00
San Onofre 3,1080.00,8596268.00,1080.00,6781682.00
Diablo Canyon 1,1087.00,9585431.00,1122.00,8677449.00
Diablo Canyon 2,1087.00,7699608.00,1118.00,9752476.00
Millstone 2,866.20,6095474.00,869.10,7414566.00
Millstone 3,1130.50,9982621.00,1233.40,9335738.00
Turkey Point 3,693.00,5445568.00,693.00,5355582.00
Turkey Point 4,693.00,5562478.00,693.00,5949819.00
Crystal River 3,838.00,6579431.00,860.00,127.56
St Lucie 1,839.00,7503741.00,839.00,5299143.00
St Lucie 2,839.00,5888263.00,839.00,7331250.00
Vogtle 1,1152.00,9410526.00,1150.00,10247423.00
Vogtle 2,1149.00,9736692.00,1152.00,9363054.00
Edwin I. Hatch 1,856.00,7146921.00,876.00,6509871.00
Edwin I. Hatch 2,883.00,6962510.00,883.00,7391685.00
Clinton,1026.00,8698989.00,1065.00,8611998.00
Dresden 2,850.00,6716440.00,867.00,7726881.00
Dresden 3,850.00,6960727.00,867.00,6866242.00
Quad Cities 1,864.00,6806644.00,882.00,7646109.00
Quad Cities 2,864.00,6965073.00,892.00,7150142.00
Braidwood 1,1185.00,10094767.00,1178.00,9196689.00
Braidwood 2,1177.00,9932165.00,1152.00,10003246.00
Byron 1,1194.00,9855738.00,1164.00,10337288.00
Byron 2,1162.00,10286514.00,1136.00,9518424.00
LaSalle County 1,1146.00,9276766.00,1118.00,9207026.00
LaSalle County 2,1147.00,9139213.00,1120.00,9925542.00
Duane Arnold,561.91,3987657.00,601.40,4450640.00
Wolf Creek 1,1165.00,8889667.00,1160.00,9555712.00
Waterford 3,1089.00,8484953.00,1168.00,10276184.00
River Bend 1,978.00,7641369.00,974.00,8363163.00
Calvert Cliffs 1,845.00,7532454.00,855.00,6755043.00
Calvert Cliffs 2,858.00,6158259.00,850.00,7238905.00
Pilgrim 1,684.70,4977955.00,684.70,5917813.00
