Daily U.S. nuclear capacity outage
https://www.eia.gov/nuclear/outages/#/?day=6/7/2020
13:19:00 GMT-0400 (Eastern Daylight Time)
U.S. Energy Information Administration based on the Nuclear Regulatory Commission's Power Reactor Status Report and Forms EIA-860 Annual Electric Generator Report and<br>Form EIA-860M Monthly Update to the Annual Electric Generator Report. <strong>Note</strong>: Outage data reflect only nuclear units that have operated or were intended to operate in the past year.
Day,2020 gigawatts (GW),2019 gigawatts (GW),2015-2019 Range Low  gigawatts (GW),2015-2019 Range High  gigawatts (GW)
12/31/2020,,1.3,0.8,4.5
12/30/2020,,2.2,1,4.4
12/29/2020,,3,0.8,4.3
12/28/2020,,3.1,0.7,4.3
12/27/2020,,2.1,0.5,4.4
12/26/2020,,0.2,0.2,4.5
12/25/2020,,0.2,0.2,5.2
12/24/2020,,0.7,0.7,5.5
12/23/2020,,1.4,1.4,5.7
12/22/2020,,2.7,2.1,6.1
12/21/2020,,2.7,2.2,6.1
12/20/2020,,2,2,6.1
12/19/2020,,2.8,2.8,6.8
12/18/2020,,2.6,2.6,6.9
12/17/2020,,1.2,1.2,7.7
12/16/2020,,2,2,8.7
12/15/2020,,2.4,2.4,8.7
12/14/2020,,2.8,2.8,9.1
12/13/2020,,2.7,2.7,10.3
12/12/2020,,2.6,2.6,9.7
12/11/2020,,3.4,3.4,7.6
12/10/2020,,3.8,3.8,8.1
12/9/2020,,3.1,3.1,8.3
12/8/2020,,2.9,2.9,8.7
12/7/2020,,3.7,3.6,9.6
12/6/2020,,2.7,2.7,11.5
12/5/2020,,2.7,2.7,10.7
12/4/2020,,3.2,3.2,10.6
12/3/2020,,3.6,3.6,11.3
12/2/2020,,3.9,3.9,12.4
12/1/2020,,3.8,3.8,12.4
11/30/2020,,5.1,5.1,12.6
11/29/2020,,5.7,5.7,13.2
11/28/2020,,6,6,13.1
11/27/2020,,5.7,5.7,13.3
11/26/2020,,6.9,6.9,12.6
11/25/2020,,7,6.2,14.2
11/24/2020,,7.6,6.3,14
11/23/2020,,8.2,5.9,12.7
11/22/2020,,8.9,6.2,14
11/21/2020,,10.8,7.1,14.5
11/20/2020,,12.2,6.4,14.4
11/19/2020,,13.8,6.8,15.6
11/18/2020,,14.5,8,16.8
11/17/2020,,14.7,8.2,17.3
11/16/2020,,15.7,7.3,17.4
11/15/2020,,12.3,7.7,19.5
11/14/2020,,12.5,8.5,20.2
11/13/2020,,12.5,9,20.3
11/12/2020,,12.5,9.8,21.2
11/11/2020,,12.5,11,23
11/10/2020,,12.7,11.6,21.3
11/9/2020,,13.2,13.2,22.5
11/8/2020,,13.8,13.8,24.4
11/7/2020,,13.9,13.9,22.8
11/6/2020,,14.1,14.1,20.7
11/5/2020,,15.5,14.8,20.3
11/4/2020,,15.6,14.7,20.3
11/3/2020,,15.6,13.3,20.7
11/2/2020,,15.8,13.7,19.8
11/1/2020,,15.8,13.9,20.7
10/31/2020,,15.6,14.6,21.5
10/30/2020,,15.8,14.5,23.1
10/29/2020,,16.1,14.6,23.2
10/28/2020,,16.3,15.2,23.8
10/27/2020,,15.8,13.9,22.8
10/26/2020,,16.5,14.2,22.4
10/25/2020,,16.4,13.6,22.5
10/24/2020,,17.6,13.6,22.4
10/23/2020,,18.1,13.8,23
10/22/2020,,19.7,11.6,22.9
10/21/2020,,19.8,11.9,23.1
10/20/2020,,19.4,12.1,23.4
10/19/2020,,21,13,23.4
10/18/2020,,18.8,13.3,21.4
10/17/2020,,17.9,13.8,20.8
10/16/2020,,17.1,14.4,22.1
10/15/2020,,17.3,13.5,22
10/14/2020,,17.7,14.6,21.3
10/13/2020,,18.1,13.6,20.7
10/12/2020,,17.6,11.5,20.3
10/11/2020,,15.3,12.2,21.7
10/10/2020,,14.4,12.9,22.8
10/9/2020,,15.5,13.2,22.8
10/8/2020,,16,11.6,21.6
10/7/2020,,16,12.1,21.3
10/6/2020,,14.9,8.5,21.6
10/5/2020,,14.6,8.9,18.2
10/4/2020,,10.9,9.4,17.4
10/3/2020,,11.4,8.8,16.6
10/2/2020,,12.2,9.3,16.5
10/1/2020,,12.3,7.4,16.4
09/30/2020,,12.4,7.1,13.2
09/29/2020,,11.8,7.6,13.4
09/28/2020,,11.4,8.1,14.3
09/27/2020,,11.9,8.5,13
09/26/2020,,11.7,7,13.5
09/25/2020,,11.8,7.1,14.5
09/24/2020,,11.1,7.1,15.9
09/23/2020,,9.6,7.7,15.6
09/22/2020,,10.6,5.9,15.7
09/21/2020,,9.2,6.4,13.2
09/20/2020,,6.4,6.4,13.2
09/19/2020,,6.4,6.4,13.7
09/18/2020,5,6.4,6.4,12.9
09/17/2020,4.8,6.6,5,14.2
09/16/2020,4.5,7,5,14
09/15/2020,4.4,6.7,4.7,12.3
09/14/2020,4.3,7.6,5.3,9.1
09/13/2020,4.8,4.6,4.6,9.7
09/12/2020,4.3,4.8,4,10.5
09/11/2020,5.1,4.6,1.6,11.3
09/10/2020,5.6,6,1.6,9.6
09/9/2020,6.9,6.2,1.5,7.3
09/8/2020,5.8,6.8,1.8,6.8
09/7/2020,4.8,4.7,2,4.7
09/6/2020,5.5,4.2,2,4.8
09/5/2020,5.3,2.9,1.6,5.5
09/4/2020,3.3,2.2,0.4,6.4
09/3/2020,3.2,2.7,0.4,7.6
09/2/2020,3.2,2.7,0.9,6
09/1/2020,3.2,3.3,0.9,4.2
08/31/2020,3.6,2.2,0.5,3.9
08/30/2020,3.7,2.2,1.1,4.1
08/29/2020,4.5,3,1.3,4.3
08/28/2020,4.3,3.1,1.1,4.7
08/27/2020,4.6,3.1,0.4,4.9
08/26/2020,4.5,1.9,0.6,3.8
08/25/2020,5.1,1,0.9,4.1
08/24/2020,5.6,1.3,1,4.1
08/23/2020,5.6,1,1,4.2
08/22/2020,6.2,0.9,0.9,3.7
08/21/2020,5.2,1,0.2,3
08/20/2020,5.4,3.4,0.2,3.4
08/19/2020,5.4,2.2,0.3,2.6
08/18/2020,5.2,2.2,0.4,2.6
08/17/2020,4.5,2.2,0.7,2.8
08/16/2020,5.3,0.9,0.5,2.9
08/15/2020,4.9,1.3,0.2,3.3
08/14/2020,4.9,2.5,0.4,3.4
08/13/2020,4,2.4,1.2,3.6
08/12/2020,4,2,1,4.5
08/11/2020,3.3,0.4,0.4,4.8
08/10/2020,2.9,0.1,0.1,4.3
08/9/2020,3.1,0.3,0.3,3.7
08/8/2020,3.5,1.2,0.9,3.9
08/7/2020,2.2,2.7,1.1,4.4
08/6/2020,2.4,3.6,1.3,5.4
08/5/2020,3.2,4.6,0.1,4.6
08/4/2020,2.2,4.9,0.1,4.9
08/3/2020,2,3.7,0.1,4.1
08/2/2020,3.1,2.5,0.1,5.5
08/1/2020,3.7,2.8,0.9,5.6
07/31/2020,3.7,2.1,1.8,6.8
07/30/2020,4.5,2.2,1,6.4
07/29/2020,5.3,3.1,1,4.5
07/28/2020,5.7,3.2,1.3,4.3
07/27/2020,5.6,1.6,1,4.1
07/26/2020,5.5,1.6,1.1,5.3
07/25/2020,6.5,2.6,1.6,5.1
07/24/2020,6.9,3.6,2.1,3.9
07/23/2020,6.1,3.2,1.8,4.2
07/22/2020,6.3,3.4,1.9,4.3
07/21/2020,5.5,2.4,2.4,4.6
07/20/2020,4,2.3,2.3,4.4
07/19/2020,4.1,1.2,1.2,4.6
07/18/2020,3.6,1,1,4.8
07/17/2020,2.5,1,1,5
07/16/2020,2.3,1.1,1.1,5.1
07/15/2020,2.2,1.2,1.2,4.9
07/14/2020,2.2,1.5,1.5,4.7
07/13/2020,2.2,1,1,5.3
07/12/2020,2.2,1.1,1.1,6
07/11/2020,2.3,1.1,1.1,5.6
07/10/2020,2.5,1,1,5.6
07/9/2020,2.5,1,1,5.7
07/8/2020,2.5,1.3,1.3,5.6
07/7/2020,2.5,1.6,1.5,7.4
07/6/2020,2.5,1.1,1.1,6.7
07/5/2020,2.1,1.1,1.1,5.3
07/4/2020,2.1,1,1,4.8
07/3/2020,2.3,1,1,5.9
07/2/2020,2.5,1.1,1.1,6.5
07/1/2020,2.2,1.2,1.2,6.1
06/30/2020,2.5,1.5,1.5,7.7
06/29/2020,2.5,1.6,1.6,7.7
06/28/2020,3.1,1.3,1.3,7.4
06/27/2020,3.7,1.9,1.9,9.7
06/26/2020,3.8,1.9,1.9,10.1
06/25/2020,4.2,1,1,9.3
06/24/2020,4.5,1.1,1.1,8.1
06/23/2020,4.9,1.3,1.3,8.1
06/22/2020,5,1.3,1.3,6.9
06/21/2020,4.4,2.9,2.9,7
06/20/2020,5.1,3.7,3.4,7.5
06/19/2020,3.1,4.1,3.1,8.2
06/18/2020,3.1,4.9,3,9.5
06/17/2020,3,4.9,3.1,10.6
06/16/2020,3.2,5.2,4,8.1
06/15/2020,3.5,5.4,3.4,7.5
06/14/2020,4.2,4.7,2.4,7
06/13/2020,4.5,4.4,2.4,7.6
06/12/2020,2.9,4.6,1.9,8.3
06/11/2020,4.8,5,2.2,8.5
06/10/2020,5.3,5,3.6,9
06/9/2020,5.9,5.4,3.6,9
06/8/2020,6.4,7,2.8,8.3
06/7/2020,7.3,6.7,2.1,8.6
06/6/2020,6.9,7.3,2.6,8.4
06/5/2020,4.6,7.1,4.1,7.7
06/4/2020,5.2,6.5,3.4,8.6
06/3/2020,6.4,6.1,4.1,10.2
06/2/2020,7.7,8.1,4.8,10.2
06/1/2020,9.4,8.4,3.8,10.7
05/31/2020,10.3,5.5,3.9,11.2
05/30/2020,9.9,6.2,3.6,10.8
05/29/2020,10.5,6.7,3.2,10.9
05/28/2020,9.1,6.5,4,11.5
05/27/2020,9.4,7.6,5.1,12.2
05/26/2020,9,6.9,5.6,12.8
05/25/2020,7.9,6.7,5.9,13.4
05/24/2020,9.4,7.8,6.9,14.5
05/23/2020,10.7,7.9,6.6,14.7
05/22/2020,10.3,8.4,7.2,15.9
05/21/2020,10.8,7.2,7.2,19.6
05/20/2020,10.6,8.9,7.2,21
05/19/2020,9.7,10.4,7.9,18.6
05/18/2020,9.6,10.3,8.1,18.8
05/17/2020,10.5,10.6,8.8,20
05/16/2020,11.7,9.7,8.6,20.1
05/15/2020,11.4,10.5,9.2,20.3
05/14/2020,11.2,11.5,10.3,22.2
05/13/2020,12.7,12.4,10.9,22.1
05/12/2020,12.3,11.1,11.1,21.1
05/11/2020,13.4,11.5,11.5,21.9
05/10/2020,15.3,11.5,11.5,21.9
05/9/2020,13.5,11,11,21.2
05/8/2020,13.4,11.1,11.1,22.1
05/7/2020,14.9,13.1,13.1,21.2
05/6/2020,16.2,13.8,13.8,22.7
05/5/2020,17.2,15.5,15.4,21.8
05/4/2020,17.5,15.7,15.7,22.9
05/3/2020,16.3,15.3,15.3,23.6
05/2/2020,16.9,15.4,15.4,23.7
05/1/2020,14.4,15.7,15.7,24.3
04/30/2020,14.8,15.4,15.4,24.4
