Nine Mile Point Nuclear Station monthly
https://www.eia.gov/electricity/data/browser/#/plant/2589
13:22:42 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Month,Net generation-all primemovers- megawatthours
Jun 2020,1361161
May 2020,1423323
Apr 2020,1223820
Mar 2020,567783
Feb 2020,1283107
Jan 2020,1428083
Dec 2019,1419533
Nov 2019,1368169
Oct 2019,1370496
Sep 2019,1436064
Aug 2019,1388538
Jul 2019,1388799
Jun 2019,1364304
May 2019,1328362
Apr 2019,926790
Mar 2019,1149066
Feb 2019,1257891
Jan 2019,1423364
Dec 2018,1419832
Nov 2018,1374831
Oct 2018,1407026
Sep 2018,1345935
Aug 2018,1295057
Jul 2018,1386302
Jun 2018,1290409
May 2018,900404
Apr 2018,888698
Mar 2018,1364805
Feb 2018,1284109
Jan 2018,1425422
Dec 2017,1425786
Nov 2017,1361625
Oct 2017,1408117
Sep 2017,1313158
Aug 2017,1269240
Jul 2017,1365672
Jun 2017,1361709
May 2017,1419287
Apr 2017,1296298
Mar 2017,1171443
Feb 2017,1212679
Jan 2017,1387866
Dec 2016,1239075
Nov 2016,1152424
Oct 2016,1410925
Sep 2016,1356487
Aug 2016,1388618
Jul 2016,1390660
Jun 2016,1362014
May 2016,1245904
Apr 2016,754831
Mar 2016,1426035
Feb 2016,1339141
Jan 2016,1434258
Dec 2015,1422087
Nov 2015,1386181
Oct 2015,1427155
Sep 2015,1284343
Aug 2015,1387647
Jul 2015,1396404
Jun 2015,1366225
May 2015,1410404
Apr 2015,1194851
Mar 2015,1166683
Feb 2015,1123379
Jan 2015,1432717
Dec 2014,1429188
Nov 2014,1386105
Oct 2014,1420433
Sep 2014,1347028
Aug 2014,1398963
Jul 2014,1402344
Jun 2014,1344023
May 2014,1360306
Apr 2014,486946
Mar 2014,959694
Feb 2014,1288293
Jan 2014,1415857
Dec 2013,1179339
Nov 2013,1327719
Oct 2013,1415931
Sep 2013,1358815
Aug 2013,1396820
Jul 2013,1344741
Jun 2013,1368731
May 2013,1163963
Apr 2013,1131870
Mar 2013,1433301
Feb 2013,1289866
Jan 2013,1435237
Dec 2012,1282495
Nov 2012,961481
Oct 2012,1351902
Sep 2012,1275120
Aug 2012,1387521
Jul 2012,1154809
Jun 2012,881195
May 2012,461139
Apr 2012,658199
Mar 2012,1304973
Feb 2012,1130245
Jan 2012,1316184
Dec 2011,1101461
Nov 2011,1272676
Oct 2011,1305602
Sep 2011,1247499
Aug 2011,1093570
Jul 2011,1275745
Jun 2011,1258797
May 2011,1048935
Apr 2011,941175
Mar 2011,1120852
Feb 2011,1178658
Jan 2011,1310649
Dec 2010,1319743
Nov 2010,1214643
Oct 2010,1298050
Sep 2010,1249015
Aug 2010,1285670
Jul 2010,1279385
Jun 2010,1243776
May 2010,1189133
Apr 2010,494373
Mar 2010,1312218
Feb 2010,1167767
Jan 2010,1185280
Dec 2009,1315012
Nov 2009,1268150
Oct 2009,1253744
Sep 2009,1249653
Aug 2009,1277742
Jul 2009,1286215
Jun 2009,1255222
May 2009,1309346
Apr 2009,1083746
Mar 2009,1129488
Feb 2009,1169505
Jan 2009,1316673
Dec 2008,1309769
Nov 2008,1150627
Oct 2008,1232911
Sep 2008,1243369
Aug 2008,1279355
Jul 2008,1268441
Jun 2008,1237640
May 2008,1297804
Apr 2008,787827
Mar 2008,1037712
Feb 2008,1225699
Jan 2008,1316569
Dec 2007,1299130
Nov 2007,847849
Oct 2007,1291728
Sep 2007,1208667
Aug 2007,1244518
Jul 2007,1276739
Jun 2007,1246426
May 2007,1218774
Apr 2007,1032859
Mar 2007,826238
Feb 2007,1153677
Jan 2007,1317419
Dec 2006,1316237
Nov 2006,1268169
Oct 2006,1302056
Sep 2006,1253733
Aug 2006,1279037
Jul 2006,1278746
Jun 2006,1181231
May 2006,1305932
Apr 2006,884828
Mar 2006,845319
Feb 2006,1157117
Jan 2006,1311929
Dec 2005,1314381
Nov 2005,1271780
Oct 2005,1303254
Sep 2005,1235761
Aug 2005,1237864
Jul 2005,1264159
Jun 2005,1232033
May 2005,1214595
Apr 2005,826387
Mar 2005,1101125
Feb 2005,1188926
Jan 2005,1317483
Dec 2004,1287183
Nov 2004,1271877
Oct 2004,1268515
Sep 2004,1163039
Aug 2004,1248743
Jul 2004,1282314
Jun 2004,1236082
May 2004,1249267
Apr 2004,495639
Mar 2004,791970
Feb 2004,1174594
Jan 2004,1132313
Dec 2003,1298812
Nov 2003,1221228
Oct 2003,1288636
Sep 2003,1244842
Aug 2003,1016544
Jul 2003,1068496
Jun 2003,1226521
May 2003,1219947
Apr 2003,838868
Mar 2003,1037882
Feb 2003,1086660
Jan 2003,1318106
Dec 2002,730464
Nov 2002,888453
Oct 2002,1260796
Sep 2002,1243747
Aug 2002,1255248
Jul 2002,1272099
Jun 2002,1250520
May 2002,1226472
Apr 2002,772513
Mar 2002,857629
Feb 2002,1183386
Jan 2002,1301564
Dec 2001,1098455
Nov 2001,1259445
Oct 2001,1197046
Sep 2001,1233386
Aug 2001,1165283
Jul 2001,1042234
Jun 2001,1213015
May 2001,839639
Apr 2001,792703
Mar 2001,996634
Feb 2001,1082371
Jan 2001,1309751
