,"Distance from Arkansas Nuclear One, Unit 1",Distance from Beaver Valley Power Station 1,Distance from Braidwood Station 1,Distance from Browns Ferry Nuclear Plant 1,Distance from Brunswick Steam Electric Plant 1,Distance from Byron Station 1,Distance from Callaway Plant 1,Distance from Calvert Cliffs Nuclear Power Plant 1,Distance from Catawba Nuclear Station 1,Distance from Clinton Power Station 1,Distance from Columbia Generating Station,Distance from Comanche Peak 1,Distance from Cooper,Distance from D.C. Cook 1,Distance from Davis-Besse,Distance from Diablo Canyon 1,Distance from Dresden 2,Distance from Duane Arnold,Distance from Farley 1,Distance from Fermi 2,Distance from FitzPatrick,Distance from Ginna,Distance from Grand Gulf 1,Distance from Harris 1,Distance from Hatch 1,Distance from Hope Creek 1,Distance from Indian Point 2,Distance from La Salle 1,Distance from Limerick 1,Distance from McGuire 1,Distance from Millstone 2,Distance from Monticello,Distance from Nine Mile Point 1,Distance from North Anna 1,Distance from Oconee 1,Distance from Palisades,Distance from Palo Verde 1,Distance from Peach Bottom 2,Distance from Perry 1,Distance from Point Beach 1,Distance from Prairie Island 1,Distance from Quad Cities 1,Distance from River Bend 1,Distance from Robinson 2,Distance from Saint Lucie 1,Distance from Salem 1,Distance from Seabrook 1,Distance from Sequoyah 1,Distance from South Texas 1,Distance from Summer,Distance from Surry 1,Distance from Susquehanna 1,Distance from Turkey Point 3,Distance from Vogtle 1,Distance from Waterford 3,Distance from Watts Bar 1,Distance from Wolf Creek 1,Mean Pop,StDev Pop,Median Pop
0,2850,12763,21041,45865,16126,11207,22437,44300,30670,10148,40281,8413,567,20616,13924,8918,20332,21169,153029,289679,37429,25483,5914,32769,16084,11336,119542,11627,143781,162225,66329,36297,37429,12694,33671,2462,0,17435,83540,14884,1814,12071,14720,32435,87158,11336,71491,78962,25354,731,3484,22906,155195,13966,51920,8855,4007,39678.43859649123,52496.103698029816,21041.0
1,64692,190311,36326,51846,20897,71842,9839,45704,89762,10069,167545,1197,8012,54393,45885,126539,49087,178016,357504,231713,35839,137144,3973,201199,1324,79158,391403,27493,340693,382325,106710,103368,35839,10940,73826,45303,7397,56806,79660,45575,31857,39491,18469,8622,206394,79158,124144,71760,1614,6968,49638,47713,117302,2109,41741,7556,1574,84794.1052631579,96776.41006558316,49638.0
2,22898,194242,41035,146552,52156,195884,17636,57885,223810,25020,907,53049,5765,88265,92051,37143,66800,27823,227097,114341,35980,388301,8425,371233,24316,396633,510743,58431,566406,467481,115368,58558,35980,43383,71242,41318,51705,272074,105461,16222,48820,295216,40249,46576,94384,396633,193485,277475,10765,103255,163567,81992,404485,45019,174409,66661,5056,136450.28070175438,143332.91143149912,71242.0
3,20356,435755,245765,186611,164673,169074,200485,67225,316042,197495,20271,56065,19729,216122,36626,89778,260481,42701,120432,113332,100209,240637,40101,633059,21095,567828,1213459,96389,1404365,566460,155114,254842,100209,123239,189323,108752,0,513903,226288,9840,228618,47400,115870,104958,119126,567828,457531,146143,63088,202879,229809,188896,470243,92880,400116,117202,6701,229884.52631578947,261525.41412952152,164673.0
4,25134,724334,279721,166061,50452,164420,66669,112863,606648,92276,52164,67107,17074,193643,265663,88823,543672,65042,128650,96261,162307,126950,17095,295701,69757,691838,3308833,147665,2201284,366814,212180,684664,162307,248836,137490,109243,124039,893476,348825,139188,473389,32358,221557,100994,155505,691838,773482,94218,15727,382743,308933,343821,711605,229574,400796,71702,53085,338885.8947368421,523007.7057031102,164420.0
5,25213,741408,701688,89334,33014,83038,23227,184755,523472,109530,35333,292864,17483,174433,437823,53366,649672,107702,93172,189373,240503,96621,98740,247927,91458,1430718,3597539,380136,1233905,370505,576310,790017,240503,279125,253594,322533,296071,1302238,470308,225977,778122,82463,258954,113888,240656,1430718,936186,155619,115173,118199,481314,167278,599984,126987,340211,150685,11328,407340.22807017545,553582.4162443638,240656.0
6,13161,444922,932444,165446,63229,199209,70362,480307,339950,212238,34786,458215,41106,215802,196838,61121,1131544,132584,142840,572341,151354,159516,78720,356415,109491,1550815,5014817,549150,1286369,260429,949762,720127,151354,330299,325093,349726,814938,1149265,563856,196786,871963,72306,73918,173180,306830,1550815,1086139,94517,71106,122501,622030,308468,604736,112395,208784,274536,42980,483753.1754385965,719736.8808925847,274536.0
7,145562,347664,1765483,127364,58748,413331,59487,1239205,396022,263804,64340,656664,51499,248423,395004,12215,1815066,82324,227247,722291,165768,152092,141424,307403,54680,1071119,3143431,670997,880805,193056,969899,498991,165768,514989,227101,312253,628131,1170792,548688,175875,502254,58717,165791,229630,235497,1071119,692497,129640,272567,217813,633969,302611,397197,114848,436514,340854,26585,472159.7894736842,535667.7279080112,307403.0
8,56271,491340,2068574,162525,69424,713075,96159,1710994,361373,239454,23926,724705,132529,1060234,485644,13641,2447624,64668,97084,737696,212956,191720,147870,413548,86058,1072706,1607680,1108214,664427,398880,1217656,290153,212956,421963,293666,638683,712537,984325,658020,164811,377651,148545,250560,308138,278895,1072706,716427,235992,717241,303631,342880,630658,410516,56623,180840,443801,80416,523005.0701754386,508970.5929442242,377651.0
9,240269,468911,1727481,184260,161785,919718,123090,1198576,577593,123163,127734,846675,635615,2764962,1197314,4412,1438580,150064,192042,1104956,424161,313897,145400,532516,200807,1279107,1166746,2030022,1031931,481190,1204861,126899,424161,481014,578457,242001,493935,2042118,690064,141214,184619,185716,284926,319150,283575,1279107,573612,161219,1156938,646428,79613,872497,377000,85789,117492,299626,267553,620922.1228070175,576599.380005541,468911.0
