,City,State,Population,Location,Latitude,Longitude
0,New York,New York,7322564,Northeast,40.7127753,-74.0059728
1,Los Angeles,California,3485398,West,34.0522342,-118.2436849
2,Chicago,Illinois,2783726,Midwest,41.8781136,-87.6297982
3,Houston,Texas,1630553,South,29.7604267,-95.3698028
4,Philadelphia,Pennsylvania,1585577,Northeast,39.9525839,-75.1652215
5,San Diego,California,1110549,West,32.715738,-117.1610838
6,Detroit,Michigan,1027974,Midwest,42.331427,-83.0457538
7,Dallas,Texas,1006877,South,32.7766642,-96.79698789999999
8,Phoenix,Arizona,983403,West,33.4483771,-112.0740373
9,San Antonio,Texas,935933,South,29.4241219,-98.49362819999999
10,San Jose,California,782248,West,37.3382082,-121.8863286
11,Baltimore,Maryland,736014,South,39.2903848,-76.6121893
12,Indianapolis,Indiana,731327,Midwest,39.768403,-86.158068
13,San Francisco,California,723959,West,37.7749295,-122.4194155
14,Jacksonville,Florida,635230,South,30.3321838,-81.65565099999999
15,Columbus,Ohio,632910,Midwest,39.9611755,-82.99879419999999
16,Milwaukee,Wisconsin,628088,Midwest,43.0389025,-87.9064736
17,Memphis,Tennessee,610337,South,35.1495343,-90.0489801
18,Washington,District of Columbia,606900,South,38.9071923,-77.0368707
19,Boston,Massachusetts,574283,Northeast,42.3600825,-71.0588801
20,Seattle,Washington,516259,West,47.6062095,-122.3320708
21,El Paso,Texas,515342,South,31.7618778,-106.4850217
22,Cleveland,Ohio,505616,Midwest,41.49932,-81.6943605
23,New Orleans,Louisiana,496938,South,29.95106579999999,-90.0715323
24,Nashville-Davidson,Tennessee,488374,South,36.1626638,-86.7816016
25,Denver,Colorado,467610,West,39.7392358,-104.990251
26,Austin,Texas,465622,South,30.267153,-97.7430608
27,Fort Worth,Texas,447619,South,32.7554883,-97.3307658
28,Oklahoma City,Oklahoma,444719,South,35.4675602,-97.5164276
29,Portland,Oregon,437319,West,45.5051064,-122.6750261
30,Kansas City,Missouri,435146,Midwest,39.0997265,-94.5785667
31,Long Beach,California,429433,West,33.7700504,-118.1937395
32,Tucson,Arizona,405390,West,32.2226066,-110.9747108
33,St. Louis,Missouri,396685,Midwest,38.6270025,-90.19940419999999
34,Charlotte,North Carolina,395934,South,35.2270869,-80.8431267
35,Atlanta,Georgia,394017,South,33.7489954,-84.3879824
36,Virginia Beach,Virginia,393069,South,36.8529263,-75.97798499999999
37,Albuquerque,New Mexico,384736,West,35.0843859,-106.650422
38,Oakland,California,372242,West,37.8043514,-122.2711639
39,Pittsburgh,Pennsylvania,369879,Northeast,40.44062479999999,-79.9958864
40,Sacramento,California,369365,West,38.5815719,-121.4943996
41,Minneapolis,Minnesota,368383,Midwest,44.977753,-93.2650108
42,Tulsa,Oklahoma,367302,South,36.1539816,-95.99277500000001
43,Honolulu,Hawaii,365272,West,21.3069444,-157.8583333
44,Cincinnati,Ohio,364040,Midwest,39.1031182,-84.5120196
45,Miami,Florida,358548,South,25.7616798,-80.1917902
46,Fresno,California,354202,West,36.7377981,-119.7871247
47,Omaha,Nebraska,335795,Midwest,41.2565369,-95.9345034
48,Toledo,Ohio,332943,Midwest,41.6528052,-83.5378674
49,Buffalo,New York,328123,Northeast,42.88644679999999,-78.8783689
50,Wichita,Kansas,304011,Midwest,37.68717609999999,-97.33005299999999
51,Santa Ana,California,293742,West,33.7454725,-117.867653
52,Mesa,Arizona,288091,West,33.4151843,-111.8314724
53,Colorado Springs,Colorado,281140,West,38.8338816,-104.8213634
54,Tampa,Florida,280015,South,27.950575,-82.4571776
55,Newark,New Jersey,275221,Northeast,40.735657,-74.1723667
56,Saint Paul,Minnesota,272235,Midwest,44.9537029,-93.0899578
57,Louisville,Kentucky,269063,South,38.2526647,-85.7584557
58,Anaheim,California,266406,West,33.8365932,-117.9143012
59,Birmingham,Alabama,265968,South,33.5185892,-86.8103567
60,Arlington,Texas,261721,South,32.735687,-97.10806559999999
61,Norfolk,Virginia,261229,South,36.8507689,-76.28587259999999
62,Las Vegas,Nevada,258295,West,36.1699412,-115.1398296
63,Corpus Christi,Texas,257453,South,27.8005828,-97.39638099999999
64,St. Petersburg,Florida,238629,South,27.7676008,-82.64029149999999
65,Rochester,New York,231636,Northeast,43.15657789999999,-77.6088465
66,Jersey City,New Jersey,228537,Northeast,40.7177545,-74.0431435
67,Riverside,California,226505,West,33.9806005,-117.3754942
68,Anchorage,Alaska,226338,West,61.2180556,-149.9002778
69,Lexington-Fayette,Kentucky,225366,South,38.0405837,-84.5037164
70,Akron,Ohio,223019,Midwest,41.0814447,-81.51900529999999
71,Aurora,Colorado,222103,West,39.7294319,-104.8319195
72,Baton Rouge,Louisiana,219531,South,30.4514677,-91.18714659999999
73,Stockton,California,210943,West,37.9577016,-121.2907796
74,Raleigh,North Carolina,207951,South,35.7795897,-78.6381787
75,Richmond,Virginia,203056,South,37.5407246,-77.4360481
76,Shreveport,Louisiana,198525,South,32.5251516,-93.7501789
77,Jackson,Mississippi,196637,South,32.2987573,-90.1848103
78,Mobile,Alabama,196278,South,30.6953657,-88.0398912
79,Des Moines,Iowa,193187,Midwest,41.5868353,-93.6249593
80,Lincoln,Nebraska,191972,Midwest,40.813616,-96.7025955
81,Madison,Wisconsin,191262,Midwest,43.0730517,-89.4012302
82,Grand Rapids,Michigan,189126,Midwest,42.9633599,-85.6680863
83,Yonkers,New York,188082,Northeast,40.9312099,-73.89874689999999
84,Hialeah,Florida,188004,South,25.8575963,-80.2781057
85,Montgomery,Alabama,187106,South,32.3792233,-86.3077368
86,Lubbock,Texas,186206,South,33.5778631,-101.8551665
87,Greensboro,North Carolina,183521,South,36.0726354,-79.7919754
88,Dayton,Ohio,182044,Midwest,39.7589478,-84.1916069
89,Huntington Beach,California,181519,West,33.6594835,-117.9988026
90,Garland,Texas,180650,South,32.912624,-96.63888329999999
91,Glendale,California,180038,West,34.1425078,-118.255075
92,Columbus,Georgia,178681,South,32.4609764,-84.9877094
93,Spokane,Washington,177196,West,47.6587802,-117.4260465
94,Tacoma,Washington,176664,West,47.2528768,-122.4442906
95,Little Rock,Arkansas,175795,South,34.7464809,-92.28959479999999
96,Bakersfield,California,174820,West,35.3732921,-119.0187125
97,Fremont,California,173339,West,37.5485396,-121.988583
98,Fort Wayne,Indiana,173072,Midwest,41.079273,-85.1393513
99,Arlington,Virginia,170936,South,38.8816208,-77.09098089999999
