,zip_code,y-2016,y-2015,y-2014,y-2013,y-2012,y-2011,y-2010,aggregate,Zip,City,State,Latitude,Longitude,Distance from Reactor,Reactor_lat,Reactor_lng,Reactor_city,Reactor_state,Reactor_name,Reactor_units
25047,72847,2678,2650,2457,2688,2485,2447,2850,18255,72847,London,AR,35.380528000000005,-93.28528,6.513935352158036,35.330898,-93.247162,London,AR,Arkansas Nuclear One,2.0
25037,72835,737,725,720,759,908,755,923,5527,72835,Delaware,AR,35.299772999999995,-93.35469,10.35528182027179,35.330898,-93.247162,London,AR,Arkansas Nuclear One,2.0
25045,72845,1244,1214,971,1186,1096,1222,1216,8149,72845,Knoxville,AR,35.376739,-93.35706,11.197992023741255,35.330898,-93.247162,London,AR,Arkansas Nuclear One,2.0
25025,72801,19859,19233,19467,18252,17903,17849,18685,131248,72801,Russellville,AR,35.278428999999996,-93.13682,11.592383468610256,35.330898,-93.247162,London,AR,Arkansas Nuclear One,2.0
25026,72802,21390,21052,21275,21872,21886,22082,20973,150530,72802,Russellville,AR,35.308848,-93.10909000000001,12.76870065339114,35.330898,-93.247162,London,AR,Arkansas Nuclear One,2.0
25036,72834,11044,11200,11208,11140,11025,11028,10565,77210,72834,Dardanelle,AR,35.199221,-93.17973,15.875175160265119,35.330898,-93.247162,London,AR,Arkansas Nuclear One,2.0
25048,72851,806,782,666,549,568,615,572,4558,72851,New Blaine,AR,35.289176,-93.44323,18.391734657859544,35.330898,-93.247162,London,AR,Arkansas Nuclear One,2.0
25046,72846,4140,4192,4207,4052,4213,3962,3913,28679,72846,Lamar,AR,35.470638,-93.36041999999999,18.62893132302984,35.330898,-93.247162,London,AR,Arkansas Nuclear One,2.0
25038,72837,7382,7957,7558,7752,8084,7527,7845,54105,72837,Dover,AR,35.460782,-93.10863,19.143933890104943,35.330898,-93.247162,London,AR,Arkansas Nuclear One,2.0
25055,72858,3831,3612,3368,3296,3078,3089,3178,23452,72858,Pottsville,AR,35.228264,-93.03947,22.04490988020517,35.330898,-93.247162,London,AR,Arkansas Nuclear One,2.0
25057,72863,1547,1443,1454,1515,1568,1788,1582,10897,72863,Scranton,AR,35.358493,-93.52793,25.657953586949475,35.330898,-93.247162,London,AR,Arkansas Nuclear One,2.0
25033,72830,15356,15269,15330,15319,15308,14627,14896,106105,72830,Clarksville,AR,35.490105,-93.4851,27.908171331989834,35.330898,-93.247162,London,AR,Arkansas Nuclear One,2.0
25029,72824,1600,1611,1568,1817,1902,1886,1876,12260,72824,Belleville,AR,35.108311,-93.42594,29.61224846015048,35.330898,-93.247162,London,AR,Arkansas Nuclear One,2.0
25058,72865,1729,1809,2171,2051,1562,1603,1366,12291,72865,Subiaco,AR,35.306084000000006,-93.57336,29.733477220253214,35.330898,-93.247162,London,AR,Arkansas Nuclear One,2.0
25028,72823,6155,6392,6459,6424,6365,6365,6765,44925,72823,Atkins,AR,35.261843,-92.90795,31.73810014057714,35.330898,-93.247162,London,AR,Arkansas Nuclear One,2.0
25044,72843,2660,2678,2518,2399,2384,2165,2274,17078,72843,Hector,AR,35.517382,-92.95354,33.742295191977504,35.330898,-93.247162,London,AR,Arkansas Nuclear One,2.0
25050,72853,1914,2082,1912,2007,1944,1762,2217,13838,72853,Ola,AR,35.014918,-93.25496,35.15355324592722,35.330898,-93.247162,London,AR,Arkansas Nuclear One,2.0
25035,72833,4593,4421,4356,4297,4269,3999,4384,30319,72833,Danville,AR,35.044021,-93.4195,35.5476594441087,35.330898,-93.247162,London,AR,Arkansas Nuclear One,2.0
25041,72840,2120,2081,2136,2062,2146,2255,2149,14949,72840,Hartman,AR,35.437519,-93.61675,35.55213784807354,35.330898,-93.247162,London,AR,Arkansas Nuclear One,2.0
25040,72839,295,313,302,205,48,97,242,1502,72839,Hagarville,AR,35.651525,-93.29708000000001,35.94867563986737,35.330898,-93.247162,London,AR,Arkansas Nuclear One,2.0
24653,72025,751,726,817,857,668,657,847,5323,72025,Casa,AR,35.043093,-93.00689,38.75399244077509,35.330898,-93.247162,London,AR,Arkansas Nuclear One,2.0
