,Zip,City,State,Latitude,Longitude,2010 Census Population,Distance from Reactor,Reactor_lat,Reactor_lng
16495,72847,London,AR,35.380528000000005,-93.28528,2850.0,6.513935352158036,35.330898,-93.247162
31050,72835,Delaware,AR,35.299772999999995,-93.35469,923.0,10.35528182027179,35.330898,-93.247162
9999,72845,Knoxville,AR,35.376739,-93.35706,1216.0,11.197992023741255,35.330898,-93.247162
7511,72801,Russellville,AR,35.278428999999996,-93.13682,18685.0,11.592383468610256,35.330898,-93.247162
30417,72802,Russellville,AR,35.308848,-93.10909000000001,20973.0,12.76870065339114,35.330898,-93.247162
25703,72834,Dardanelle,AR,35.199221,-93.17973,10565.0,15.875175160265119,35.330898,-93.247162
24804,72851,New Blaine,AR,35.289176,-93.44323,572.0,18.391734657859544,35.330898,-93.247162
4770,72846,Lamar,AR,35.470638,-93.36041999999999,3913.0,18.62893132302984,35.330898,-93.247162
5995,72837,Dover,AR,35.460782,-93.10863,7845.0,19.143933890104943,35.330898,-93.247162
18353,72858,Pottsville,AR,35.228264,-93.03947,3178.0,22.04490988020517,35.330898,-93.247162
16782,72863,Scranton,AR,35.358493,-93.52793,1582.0,25.657953586949475,35.330898,-93.247162
8787,72830,Clarksville,AR,35.490105,-93.4851,14896.0,27.908171331989834,35.330898,-93.247162
32327,72824,Belleville,AR,35.108311,-93.42594,1876.0,29.61224846015048,35.330898,-93.247162
1840,72865,Subiaco,AR,35.306084000000006,-93.57336,1366.0,29.733477220253214,35.330898,-93.247162
31105,72823,Atkins,AR,35.261843,-92.90795,6765.0,31.73810014057714,35.330898,-93.247162
26944,72843,Hector,AR,35.517382,-92.95354,2274.0,33.742295191977504,35.330898,-93.247162
20431,72853,Ola,AR,35.014918,-93.25496,2217.0,35.15355324592722,35.330898,-93.247162
24325,72833,Danville,AR,35.044021,-93.4195,4384.0,35.5476594441087,35.330898,-93.247162
27282,72840,Hartman,AR,35.437519,-93.61675,2149.0,35.55213784807354,35.330898,-93.247162
29548,72839,Hagarville,AR,35.651525,-93.29708000000001,242.0,35.94867563986737,35.330898,-93.247162
28027,72025,Casa,AR,35.043093,-93.00689,847.0,38.75399244077509,35.330898,-93.247162
13575,72842,Havana,AR,35.111397,-93.58735,1478.0,39.390851464574986,35.330898,-93.247162
6595,72832,Coal Hill,AR,35.435619,-93.67368,923.0,40.394738079795175,35.330898,-93.247162
7064,72826,Blue Mountain,AR,35.161856,-93.65615,47.0,41.638978979163376,35.330898,-93.247162
32238,72854,Ozone,AR,35.686766,-93.42258000000001,703.0,42.65083562609704,35.330898,-93.247162
13118,72855,Paris,AR,35.293281,-93.72139,6314.0,43.24628203982877,35.330898,-93.247162
3458,72001,Adona,AR,35.058503,-92.88762,566.0,44.565147475623,35.330898,-93.247162
11916,72860,Rover,AR,34.949945,-93.40287,375.0,44.67754698915343,35.330898,-93.247162
25988,72063,Hattieville,AR,35.320423,-92.7496,1683.0,45.168759986726805,35.330898,-93.247162
20914,72080,Jerusalem,AR,35.567694,-92.82755999999999,662.0,46.252443711916825,35.330898,-93.247162
26106,72821,Altus,AR,35.44477,-93.74700000000001,2048.0,47.06180738353327,35.330898,-93.247162
24593,72110,Morrilton,AR,35.156490999999995,-92.75858000000001,11498.0,48.43801076310839,35.330898,-93.247162
15646,72852,Oark,AR,35.689689,-93.55764,315.0,48.81509130456745,35.330898,-93.247162
8798,72125,Perry,AR,35.056424,-92.79432,905.0,51.24838166917613,35.330898,-93.247162
25431,72828,Briggsville,AR,34.929705,-93.53009,114.0,51.51481213400466,35.330898,-93.247162
3199,72156,Solgohachia,AR,35.284619,-92.6754,639.0,52.153502163176256,35.330898,-93.247162
8981,72857,Plainview,AR,34.865448,-93.33057,1430.0,52.325400221904175,35.330898,-93.247162
23129,72030,Cleveland,AR,35.423473,-92.67942,705.0,52.50920708604824,35.330898,-93.247162
364,72943,Magazine,AR,35.184948999999996,-93.80443000000001,2646.0,53.15402195246988,35.330898,-93.247162
14513,72126,Perryville,AR,34.965699,-92.86841,3674.0,53.26023249021395,35.330898,-93.247162
7274,72856,Pelsor,AR,35.794196,-93.04185,464.0,54.77879737281148,35.330898,-93.247162
3820,72686,Witts Springs,AR,35.747153999999995,-92.90985,182.0,55.45964732938963,35.330898,-93.247162
18833,72628,Deer,AR,35.839126,-93.27736999999999,803.0,56.596119236294385,35.330898,-93.247162
